candidate_id,name,email,phone,test_score,test_date,status
ID0049,Candidate 49,user49@test.org,0909123456,69,2025-03-19,pending
ID0050,Candidate 50,user50@test.org,0909123456,39,2024-12-29,failed
ID0051,Candidate 51,user51@example.com,+1-202-555-0175,100,2024-07-26,failed
ID0052,Candidate 52,user52@demo.net,+1-202-555-0175,48,2025-01-14,pending
ID0053,Candidate 53,user53@demo.net,+84123456789,14,2024-06-21,failed
ID0054,Candidate 54,user54@example.com,0909123456,71,2025-04-07,pending
ID0055,Candidate 55,user55@demo.net,0909123456,81,2024-12-24,completed
ID0056,Candidate 56,user56@test.org,0123456789,60,2024-07-01,pending
ID0057,Candidate 57,user57@demo.net,0909123456,82,2024-09-04,completed
ID0058,Candidate 58,user58@example.com,+1-202-555-0175,54,2025-03-14,failed
ID0059,Candidate 59,user59@demo.net,+84123456789,83,2025-02-25,completed
ID0060,Candidate 60,user60@example.com,+1-202-555-0175,94,2025-02-12,failed
ID0061,Candidate 61,user61@example.com,0909123456,71,2024-07-22,pending
ID0062,Candidate 62,user62@demo.net,0909123456,38,2025-04-20,completed
ID0063,Candidate 63,user63@demo.net,0123456789,18,2025-04-02,failed
ID0064,Candidate 64,user64@demo.net,0909123456,78,2024-08-21,completed
ID0065,Candidate 65,user65@test.org,+1-202-555-0175,5,2025-05-06,pending
ID0066,Candidate 66,user66@test.org,0909123456,71,2024-09-20,pending
ID0067,Candidate 67,user67@demo.net,+1-202-555-0175,74,2024-12-17,failed
ID0068,Candidate 68,user68@example.com,0123456789,41,2024-09-14,failed
ID0069,Candidate 69,user69@test.org,+1-202-555-0175,29,2024-09-09,completed
ID0070,Candidate 70,user70@example.com,0123456789,57,2024-08-08,pending
ID0071,Candidate 71,user71@test.org,0123456789,11,2024-06-02,failed
ID0072,Candidate 72,user72@example.com,0909123456,95,2024-08-03,completed
ID0073,Candidate 73,user73@demo.net,+1-202-555-0175,61,2025-04-14,failed
ID0074,Candidate 74,user74@demo.net,0123456789,35,2024-11-20,pending
ID0075,Candidate 75,user75@test.org,0909123456,47,2025-02-26,pending
ID0076,Candidate 76,user76@test.org,0909123456,73,2025-02-02,failed
ID0077,Candidate 77,user77@example.com,+1-202-555-0175,5,2024-09-17,failed
ID0078,Candidate 78,user78@example.com,+84123456789,17,2024-09-11,completed
ID0079,Candidate 79,user79@test.org,0909123456,91,2025-03-29,pending
ID0080,Candidate 80,user80@example.com,+84123456789,34,2024-06-13,completed
ID0081,Candidate 81,user81@demo.net,+1-202-555-0175,43,2025-01-27,completed
ID0082,Candidate 82,user82@demo.net,0123456789,11,2025-02-27,completed
ID0083,Candidate 83,user83@test.org,+84123456789,11,2025-03-01,pending
ID0084,Candidate 84,user84@demo.net,+1-202-555-0175,47,2025-03-19,failed
ID0085,Candidate 85,user85@test.org,0909123456,17,2025-04-02,failed
ID0086,Candidate 86,user86@demo.net,0123456789,27,2024-08-04,pending
ID0087,Candidate 87,user87@example.com,+84123456789,18,2024-11-05,pending
ID0088,Candidate 88,user88@demo.net,0909123456,0,2024-08-07,pending
ID0089,Candidate 89,user89@example.com,+84123456789,28,2024-06-13,pending
ID0090,Candidate 90,user90@test.org,0123456789,93,2025-02-19,completed
ID0091,Candidate 91,user91@demo.net,+1-202-555-0175,23,2024-12-16,completed
ID0092,Candidate 92,user92@example.com,0123456789,78,2024-09-19,completed
ID0093,Candidate 93,user93@test.org,0909123456,43,2024-07-25,completed
ID0094,Candidate 94,user94@example.com,0909123456,45,2024-07-28,completed
ID0095,Candidate 95,user95@test.org,+84123456789,68,2024-07-04,completed
ID0096,Candidate 96,user96@example.com,+1-202-555-0133,94,2025-04-21,failed
ID0097,Candidate 97,user97@demo.net,0123456789,33,2025-04-08,failed
ID0098,Candidate 98,user98@example.com,0909123456,82,2025-05-20,completed
ID0099,Candidate 99,user99@example.com,0909123456,90,2025-01-01,pending
ID0100,Candidate 100,user100@demo.net,0909123456,90,2024-12-05,completed
